player,dismissal,runs,balls,minutes,4s,6s,strike_rate
Rohit Sharma,b,4,2,2,1,0,200
Shubman Gill,c,92,92,136,11,2,100
Virat Kohli,c,88,94,139,11,0,93.61
Shreyas Iyer,c,82,56,84,3,6,146.42
KL Rahul,c,21,19,34,2,0,110.52
Suryakumar Yadav,c,12,9,13,2,0,133.33
Ravindra Jadeja,run,35,24,41,1,1,145.83
Mohammed Shami,run,2,4,11,0,0,50
Jasprit Bumrah,not,1,1,1,0,0,100
Fakhar Zaman,c,12,15,14,3,0,80
Imam-ul-Haq,c,15,19,40,2,0,78.94
Babar Azam,c,5,18,20,0,0,27.77
Mohammad Rizwan,b,68,75,104,8,0,90.66
Saud Shakeel,c,68,52,84,9,1,130.76
Iftikhar Ahmed,c,9,11,22,1,0,81.81
Mohammad Nawaz,run,39,43,66,4,0,90.69
Shadab Khan,b,32,34,42,2,1,94.11
Hasan Ali,lbw,0,1,2,0,0,0
Shaheen Shah Afridi,not,13,12,23,2,0,108.33
Haris Rauf,st,16,14,10,2,1,114.28
Rohit Sharma,c,47,31,44,4,3,151.61
Shubman Gill,c,4,7,21,0,0,57.14
Virat Kohli,b,54,63,99,4,0,85.71
Shreyas Iyer,c,4,3,3,1,0,133.33
KL Rahul,c,66,107,133,1,0,61.68
Ravindra Jadeja,c,9,22,33,0,0,40.9
Suryakumar Yadav,c,18,28,57,1,0,64.28
Mohammed Shami,c,6,10,9,1,0,60
Jasprit Bumrah,lbw,1,3,5,0,0,33.33
Kuldeep Yadav,run,10,18,28,0,0,55.55
Mohammed Siraj,not,9,8,13,1,0,112.5
Rohit Sharma,c,87,101,162,10,3,86.13
Shubman Gill,b,9,13,18,1,0,69.23
Virat Kohli,c,0,9,12,0,0,0
Shreyas Iyer,c,4,16,21,0,0,25
KL Rahul,c,39,58,77,3,0,67.24
Suryakumar Yadav,c,49,47,75,4,1,104.25
Ravindra Jadeja,lbw,8,13,14,0,0,61.53
Mohammed Shami,c,1,5,4,0,0,20
Jasprit Bumrah,run,16,25,44,1,0,64
Kuldeep Yadav,not,9,13,18,1,0,69.23
